Class,Classroom_0,Classroom_1,Classroom_2,Classroom_3,Classroom_4,Classroom_5,Classroom_6,Classroom_7,Classroom_8,Classroom_9,Classroom_10,Classroom_11,Classroom_12,Classroom_13,Classroom_14,Classroom_15,Classroom_16,Classroom_17
0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1
1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1
6,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1
7,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1
8,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1
9,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0
10,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
11,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1
12,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
13,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
14,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1
