,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
2,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
6,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
7,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
8,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
9,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
10,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
11,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
12,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
13,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
14,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
15,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
16,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
17,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
18,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
19,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
20,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
21,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
22,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
23,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
24,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
