Class,Classroom_0,Classroom_1,Classroom_2,Classroom_3,Classroom_4,Classroom_5,Classroom_6,Classroom_7,Classroom_8,Classroom_9,Classroom_10,Classroom_11,Classroom_12,Classroom_13,Classroom_14,Classroom_15
0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
5,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
7,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
8,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
9,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
12,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1
13,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
14,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
