,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
4,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
5,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
6,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
7,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
8,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
10,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
11,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
12,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
13,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
14,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
17,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
18,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
20,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
21,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
22,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
23,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
25,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
26,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0
27,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
28,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
29,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
30,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
31,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
32,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
33,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0
